         22296485 function calls (22295808 primitive calls) in 80.078 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   605425   22.662    0.000   27.831    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/h5py/_hl/dataset.py:35(make_new_dset)
       24   11.526    0.480   11.526    0.480 {built-in method digital_rf._py_rf_write_hdf5.rf_write}
       96   10.762    0.112   10.762    0.112 {method 'collect' of 'builtins.PyLazyFrame' objects}
   605425    5.943    0.000    7.043    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/h5py/_hl/dataset.py:659(__init__)
       48    5.458    0.114   50.673    1.056 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/digital_rf/digital_metadata.py:295(_write)
   605425    4.769    0.000   40.675    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/h5py/_hl/group.py:67(create_dataset)
       24    4.567    0.190    6.064    0.253 {built-in method numpy.ascontiguousarray}
    86400    1.700    0.000    2.569    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/h5py/_hl/group.py:48(create_group)
       24    1.497    0.062    1.497    0.062 {method 'to_numpy' of 'builtins.PyDataFrame' objects}
   605425    1.419    0.000    1.514    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/h5py/_hl/filters.py:151(fill_dcpl)
  9454057    1.149    0.000    1.150    0.000 {built-in method builtins.isinstance}
     2882    0.885    0.000    0.885    0.000 {built-in method posix.unlink}
   605425    0.869    0.000    0.869    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/h5py/_hl/filters.py:309(get_filters)
     1466    0.843    0.001    0.843    0.001 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/h5py/_hl/files.py:570(close)
   605437    0.808    0.000    0.808    0.000 {built-in method numpy.asarray}
   691837    0.639    0.000    1.375    0.000 /home/cuong/drive/code/CSV2DRF/.drfenv/lib/python3.12/site-packages/h5py/_hl/base.py:173(_e)
