import time: self [us] | cumulative | imported package
import time:       241 |        241 |   _io
import time:        32 |         32 |   marshal
import time:       273 |        273 |   posix
import time:       393 |        938 | _frozen_importlib_external
import time:        90 |         90 |   time
import time:        96 |        186 | zipimport
import time:        43 |         43 |     _codecs
import time:       257 |        299 |   codecs
import time:       435 |        435 |   encodings.aliases
import time:       504 |       1238 | encodings
import time:       172 |        172 | encodings.utf_8
import time:        82 |         82 | _signal
import time:        24 |         24 |     _abc
import time:        94 |        118 |   abc
import time:       115 |        233 | io
import time:        35 |         35 |       _stat
import time:        47 |         82 |     stat
import time:       656 |        656 |     _collections_abc
import time:        30 |         30 |       genericpath
import time:        69 |         99 |     posixpath
import time:       273 |       1109 |   os
import time:        59 |         59 |   _sitebuiltins
import time:       186 |        186 |     apport_python_hook
import time:       108 |        293 |   sitecustomize
import time:       438 |       1898 | site
import time:       197 |        197 |     itertools
import time:       169 |        169 |     keyword
import time:        72 |         72 |       _operator
import time:       315 |        387 |     operator
import time:       176 |        176 |     reprlib
import time:        59 |         59 |     _collections
import time:       703 |       1688 |   collections
import time:       245 |        245 |         types
import time:        55 |         55 |           _functools
import time:       566 |        621 |         functools
import time:      1121 |       1986 |       enum
import time:        77 |         77 |         _sre
import time:       309 |        309 |           re._constants
import time:       352 |        661 |         re._parser
import time:       107 |        107 |         re._casefix
import time:       414 |       1258 |       re._compiler
import time:       147 |        147 |       copyreg
import time:       460 |       3849 |     re
import time:       168 |        168 |         _weakrefset
import time:       415 |        582 |       weakref
import time:       170 |        752 |     copy
import time:      3447 |       3447 |         _ast
import time:      1492 |       1492 |         contextlib
import time:      1374 |       6312 |       ast
import time:        41 |         41 |           _opcode
import time:       378 |        419 |         opcode
import time:       729 |       1147 |       dis
import time:       163 |        163 |       collections.abc
import time:       250 |        250 |           warnings
import time:       133 |        382 |         importlib
import time:        46 |        427 |       importlib.machinery
import time:       164 |        164 |           token
import time:        35 |         35 |           _tokenize
import time:       837 |       1035 |         tokenize
import time:       127 |       1162 |       linecache
import time:      1876 |      11085 |     inspect
import time:       657 |      16341 |   dataclasses
import time:       398 |      18426 | pprint
import time:       159 |        159 |   fnmatch
import time:        56 |         56 |   errno
import time:       101 |        101 |   zlib
import time:       167 |        167 |     _compression
import time:       285 |        285 |     _bz2
import time:       212 |        663 |   bz2
import time:       300 |        300 |     _lzma
import time:       342 |        641 |   lzma
import time:       679 |       2296 | shutil
import time:       304 |        304 | glob
import time:        95 |         95 |   _datetime
import time:       110 |        205 | datetime
import time:       655 |        655 |   gettext
import time:       906 |       1560 | argparse
import time:       861 |        861 |       textwrap
import time:       534 |       1395 |     traceback
import time:        30 |         30 |       _string
import time:       557 |        586 |     string
import time:       571 |        571 |     threading
import time:        44 |         44 |     atexit
import time:      1607 |       4200 |   logging
import time:       135 |        135 |     __future__
import time:       367 |        367 |           numbers
import time:       596 |        962 |         _decimal
import time:       101 |       1062 |       decimal
import time:        66 |         66 |       math
import time:       956 |       2084 |     fractions
import time:      1648 |       1648 |       h5py._errors
import time:       668 |        668 |           h5py.defs
import time:        40 |         40 |             gc
import time:       334 |        374 |           h5py._objects
import time:       138 |        138 |           h5py.h5py_warnings
import time:       291 |       1469 |         h5py.h5
import time:        88 |         88 |               numpy._utils._convertions
import time:        84 |        171 |             numpy._utils
import time:       254 |        425 |           numpy._globals
import time:       191 |        191 |           numpy.exceptions
import time:        86 |         86 |           numpy.version
import time:        25 |         25 |             numpy._distributor_init_local
import time:        79 |        103 |           numpy._distributor_init
import time:       120 |        120 |                     numpy._utils._inspect
import time:       520 |        520 |                       numpy.core._exceptions
import time:      1195 |       1195 |                       numpy.dtypes
import time:      7540 |       9253 |                     numpy.core._multiarray_umath
import time:       393 |       9765 |                   numpy.core.overrides
import time:       646 |      10410 |                 numpy.core.multiarray
import time:       250 |        250 |                 numpy.core.umath
import time:       165 |        165 |                   numpy.core._string_helpers
import time:       327 |        327 |                             urllib
import time:      1609 |       1609 |                             ipaddress
import time:      1409 |       3343 |                           urllib.parse
import time:        77 |         77 |                             _winapi
import time:        65 |         65 |                             nt
import time:        60 |         60 |                             nt
import time:        58 |         58 |                             nt
import time:        59 |         59 |                             nt
import time:        58 |         58 |                             nt
import time:        58 |         58 |                             nt
import time:       363 |        794 |                           ntpath
import time:       975 |       5111 |                         pathlib
import time:        70 |         70 |                         pickle5
import time:        94 |         94 |                             _struct
import time:       210 |        303 |                           struct
import time:       423 |        423 |                           _compat_pickle
import time:       151 |        151 |                           _pickle
import time:      1178 |       2053 |                         pickle
import time:       351 |       7583 |                       numpy.compat.py3k
import time:       212 |       7795 |                     numpy.compat
import time:       236 |        236 |                     numpy.core._dtype
import time:       529 |       8558 |                   numpy.core._type_aliases
import time:       527 |       9249 |                 numpy.core.numerictypes
import time:       156 |        156 |                             _contextvars
import time:       180 |        336 |                           contextvars
import time:       292 |        628 |                         numpy.core._ufunc_config
import time:       320 |        947 |                       numpy.core._methods
import time:      1387 |       2334 |                     numpy.core.fromnumeric
import time:       586 |       2919 |                   numpy.core.shape_base
import time:       862 |        862 |                   numpy.core.arrayprint
import time:       166 |        166 |                   numpy.core._asarray
