7fb1,7f5d,80ac
7f1f,7d25,8435
7fbd,7beb,84f0
7ee7,7c9b,81d7
7e3c,7ef3,7e1f
7f23,80ca,7ad2
7f50,81f5,7a44
7ebe,825d,7c1f
7ff4,80a4,8097
7e2d,7d19,8337
7fb0,7c52,8383
7f1b,7d1c,8227
7e94,7ebf,7dfb
7d78,809c,7a85
7e65,8151,79de
8061,809d,7bf0
7ec8,7ec8,80c3
7dd3,7d2a,8417
7f69,7d01,839b
7e9f,7d47,820e
7e50,7f3b,7e1e
7ceb,7fde,7b1e
7e7d,808c,7a61
8041,8089,7ce4
8008,7f8f,7fdb
7f5b,7d6a,82c8
7e23,7cce,845a
7ebb,7d00,825f
7e8d,7d94,7d9f
7e04,7fd6,7aff
7e80,8193,796f
7fad,81ec,7c90
8023,8017,805a
8012,7d2f,8367
7ec2,7cbb,84a8
7ed3,7cbe,822f
7e21,7e0b,7e2b
7d7f,800b,7a1e
7f5d,81b5,797e
7f59,81aa,7ca1
7ec9,8037,80e4
7e9f,7e47,840b
7e8d,7c62,8489
7e9b,7ced,8103
7f81,7e2c,7dcc
7e2f,7fa3,7ab4
7dac,80c7,79e0
7f61,816b,7be9
806e,807c,80a4
7f5e,7e59,83ca
7f99,7c9e,848a
7f0b,7cef,8274
7dc4,7db5,7e24
7e77,7eba,7ac8
7de3,800f,7ac6
7f05,81c1,7c84
8024,80e6,7feb
804b,7dff,8368
7fd8,7d8a,8497
7ea3,7ddd,82a4
7db0,7e63,7d6c
7e34,806d,7aae
7e00,8147,79a1
7d91,80f0,7c1d
7fce,8056,8075
7f80,7ebf,83fa
800a,7c45,84ae
7fd8,7c52,818b
7ef5,7d81,7d7e
7eca,8049,7ad0
7dbc,8250,79c4
7e1d,81dd,7ce1
8001,7fde,8058
7fac,7d92,837b
7f5d,7bb1,849e
7c64,7bdf,81e8
7ae0,7e24,7dfb
7c18,8097,7af1
7dc3,823c,7a58
800b,82ce,7ca9
8153,8081,7f9b
810e,7dd7,8371
7f05,7d87,84b4
7fee,7d00,8290
7e9d,7c9f,7d39
7d53,7f20,7bc7
7cb4,7fb0,7d3b
7ed8,7fa7,7d79
80f4,7f7e,80e3
80ed,7e3a,85ba
8081,7bc0,8382
80b2,7b86,7f89
7f72,7da6,7cd8
7e3f,7eca,7854
7e79,81d8,7590
8021,820d,79fc
7f51,81b4,7fb1
7eb4,7ff9,808c
7e10,7df7,849a
7db0,7c37,84bb
7d17,7e29,7e9d
7e77,7fbd,7d1f
7e65,8028,7e53
7e4e,800d,7d7e
7e8d,808b,8059
7e53,7e13,867a
7eff,7c2d,83c3
804d,7c93,8051
7db2,7dc6,7ee4
7d73,7e6d,783f
7d34,8016,75ea
7fdd,8178,7b26
8198,8202,7ef7
810f,80b4,805b
8086,7ef2,851a
7dd7,7ddb,83e6
7e1f,7f0e,7d63
7c85,7f54,7d46
7c3c,80a4,7de8
7f81,8055,7d16
7fb9,8036,8156
7f6a,7de4,8624
8050,7b89,8429
804f,7b4b,8028
7efb,7d3e,7e09
7e91,7e62,78c9
7eaa,7fb8,7617
7e71,80d2,7b0b
7ee6,81fa,7eb0
7fe7,8079,8060
7fb6,7f17,856f
7e9f,7df1,83fd
7f63,7f5b,7de8
7e41,7f97,7ce1
7d26,8132,7ef5
7db8,814b,7dde
7f81,8080,8120
7f29,7d9c,864b
7f9d,7b30,83b6
801b,7a6c,8020
806f,7ce7,7e09
7f68,7eae,7919
7f46,80e0,7669
7e4a,81be,7b2d
7e66,8222,7fa2
7ef2,7fcc,7ff6
7ec9,7d99,851e
7eb6,7dec,83b4
7d47,7f75,7e66
7e50,7ffb,7cc1
